Call Open Interest,Call Volume,Call Theta,Call Vega,Call Gamma,Call Delta,Call Ask,Strike,Put Ask,Put Delta,Put Gamma,Put Vega,Put Theta,Put Volume,Put Open Interest
1245,484,-5.076,1.013,0.621,68,38.5,3880,12.0,31,0.621,1.013,-5.077,616,807
986,113,-4.631,1.081,0.677,61,31.61,3885,15.36,38,0.67,1.082,-4.623,668,783
632,917,-4.886,1.046,0.666,65,34.41,3890,13.15,34,0.659,1.047,-4.876,727,588
316,769,-4.405,1.104,0.72,58,27.75,3895,16.5,41,0.712,1.104,-4.399,452,160
1895,2083,-4.145,1.122,0.738,55,24.75,3900,18.5,44,0.73,1.122,-4.142,1923,844
675,365,-3.875,1.13,0.757,51,21.75,3905,20.5,48,0.748,1.13,-3.875,677,301
496,943,-3.595,1.129,0.767,47,19.0,3910,22.75,52,0.758,1.129,-3.599,457,312
587,303,-3.309,1.117,0.768,43,16.5,3915,25.25,56,0.759,1.117,-3.316,156,274
1316,1034,-3.021,1.094,0.759,39,14.25,3920,27.75,60,0.759,1.094,-3.022,56,205
1451,809,-2.723,1.058,0.75,35,12.0,3925,30.75,64,0.741,1.06,-2.739,228,220
1596,938,-2.446,1.014,0.722,32,10.25,3930,34.0,67,0.713,1.018,-2.466,66,100
924,520,-2.161,0.958,0.693,28,8.5,3935,37.5,71,0.678,0.968,-2.209,21,106
1214,665,-1.917,0.901,0.649,25,7.25,3940,41.0,74,0.642,0.908,-1.948,60,51
844,563,-1.671,0.833,0.604,21,6.0,3945,44.75,77,0.6,0.844,-1.707,55,45
3160,1514,-1.417,0.754,0.557,18,4.75,3950,48.75,80,0.553,0.779,-1.495,2907,260
997,1113,-1.208,0.679,0.505,15,3.85,3955,52.75,83,0.505,0.705,-1.28,18,19
1113,137,-5.748,0.846,0.481,77,54.5,3860,7.75,21,0.484,0.839,-5.773,709,790
449,57,-5.591,0.893,0.513,75,50.5,3865,8.75,24,0.517,0.887,-5.613,567,858
513,316,-5.445,0.932,0.551,73,46.25,3870,9.75,26,0.551,0.931,-5.448,481,918
815,140,-5.257,0.976,0.582,70,42.5,3875,10.75,29,0.588,0.972,-5.274,416,687
1245,484,-5.076,1.013,0.621,68,38.5,3880,12.0,31,0.621,1.013,-5.077,616,807
986,113,-4.622,1.082,0.669,61,31.86,3885,15.1,38,0.677,1.081,-4.632,668,783
632,917,-4.886,1.045,0.666,65,34.41,3890,12.91,34,0.666,1.045,-4.887,727,588
316,769,-4.399,1.104,0.712,58,28.0,3895,16.5,41,0.712,1.104,-4.399,452,160
1895,2083,-4.145,1.121,0.738,55,24.75,3900,18.25,44,0.738,1.121,-4.145,1923,844
675,365,-3.875,1.13,0.757,51,21.75,3905,20.25,48,0.757,1.13,-3.875,677,301
496,943,-3.595,1.129,0.767,47,19.0,3910,22.5,52,0.767,1.129,-3.595,457,312
587,303,-3.309,1.117,0.768,43,16.5,3915,25.0,56,0.768,1.117,-3.309,156,274
1316,1034,-3.021,1.094,0.759,39,14.25,3920,27.75,60,0.759,1.094,-3.022,56,205
1451,809,-2.723,1.058,0.75,35,12.0,3925,30.75,64,0.741,1.06,-2.739,228,220
1596,938,-2.446,1.014,0.722,32,10.25,3930,33.75,67,0.721,1.015,-2.447,66,100
924,520,-2.161,0.958,0.693,28,8.5,3935,37.25,71,0.685,0.963,-2.186,21,106
1214,665,-1.917,0.901,0.649,25,7.25,3940,40.75,75,0.648,0.901,-1.921,60,51
844,563,-1.671,0.833,0.604,21,6.0,3945,44.5,78,0.604,0.835,-1.676,55,45
3160,1514,-1.425,0.756,0.557,18,4.8,3950,48.5,81,0.555,0.767,-1.46,2907,260
997,1113,-1.216,0.682,0.505,15,3.9,3955,52.5,84,0.505,0.691,-1.24,18,19
1113,137,-5.756,0.844,0.477,77,55.0,3860,7.75,21,0.48,0.836,-5.781,709,790
449,57,-5.619,0.885,0.512,75,50.75,3865,8.75,24,0.512,0.884,-5.622,567,858
513,316,-5.456,0.929,0.545,73,46.75,3870,9.5,26,0.55,0.924,-5.476,481,918
815,140,-5.284,0.97,0.581,71,42.75,3875,10.5,28,0.587,0.966,-5.303,417,687
1245,484,-5.09,1.01,0.614,68,39.0,3880,11.75,31,0.621,1.007,-5.105,616,807
986,113,-4.65,1.079,0.67,62,32.09,3885,15.09,37,0.67,1.078,-4.65,668,783
632,917,-4.902,1.043,0.658,65,34.92,3890,12.68,34,0.665,1.041,-4.914,727,588
316,769,-4.426,1.102,0.712,59,28.25,3895,16.25,41,0.712,1.102,-4.427,452,160
1895,2083,-4.172,1.12,0.738,55,25.0,3900,18.0,44,0.738,1.12,-4.172,1923,844
675,365,-3.903,1.13,0.757,51,22.0,3905,20.0,48,0.757,1.13,-3.903,677,301
496,943,-3.624,1.129,0.767,48,19.25,3910,22.25,52,0.767,1.129,-3.624,457,312
587,303,-3.338,1.118,0.768,44,16.75,3915,24.75,55,0.768,1.118,-3.339,156,274
1316,1034,-3.052,1.096,0.759,40,14.5,3920,27.5,59,0.759,1.096,-3.053,56,205
1451,809,-2.741,1.061,0.759,36,12.0,3925,30.5,63,0.741,1.064,-2.771,228,220
1596,938,-2.48,1.02,0.722,32,10.5,3930,33.5,67,0.722,1.02,-2.481,66,100
924,521,-2.197,0.966,0.694,28,8.75,3935,36.75,71,0.693,0.966,-2.199,21,106
1214,665,-1.928,0.903,0.656,25,7.25,3940,40.5,74,0.649,0.911,-1.959,60,51
844,563,-1.681,0.836,0.611,21,6.0,3945,44.25,77,0.606,0.846,-1.717,55,45
3160,1514,-1.447,0.763,0.562,18,4.9,3950,48.0,81,0.561,0.77,-1.468,2907,260
997,1113,-1.231,0.687,0.51,15,3.95,3955,52.25,83,0.51,0.707,-1.287,18,19
1113,137,-5.76,0.843,0.474,77,55.25,3860,7.75,21,0.478,0.835,-5.785,709,790
449,57,-5.624,0.884,0.509,75,51.0,3865,8.5,23,0.513,0.877,-5.647,567,858
513,316,-5.461,0.928,0.543,73,47.0,3870,9.5,26,0.548,0.923,-5.481,481,918
815,145,-5.29,0.969,0.579,71,43.0,3875,10.5,28,0.584,0.965,-5.309,417,687
1245,484,-5.097,1.009,0.611,68,39.25,3880,11.75,31,0.618,1.006,-5.112,616,807
986,113,-4.659,1.077,0.666,62,32.34,3885,14.82,37,0.674,1.076,-4.669,668,783
632,917,-4.921,1.04,0.661,65,34.93,3890,12.69,34,0.662,1.04,-4.922,727,588
316,769,-4.437,1.101,0.708,59,28.5,3895,16.25,40,0.708,1.101,-4.437,452,160
1895,2090,-4.184,1.119,0.734,55,25.25,3900,18.0,44,0.734,1.119,-4.184,1925,844
675,365,-3.917,1.129,0.752,52,22.25,3905,20.0,48,0.752,1.129,-3.917,677,301
496,943,-3.64,1.129,0.762,48,19.5,3910,22.25,51,0.762,1.129,-3.64,457,312
587,303,-3.356,1.119,0.763,44,17.0,3915,24.5,55,0.772,1.119,-3.35,156,274
1316,1034,-3.062,1.097,0.764,40,14.5,3920,27.25,59,0.763,1.097,-3.063,56,205
1451,810,-2.779,1.065,0.746,36,12.5,3925,30.25,63,0.745,1.065,-2.78,228,220
1596,938,-2.487,1.021,0.727,32,10.5,3930,33.5,67,0.718,1.024,-2.507,66,100
924,521,-2.226,0.972,0.69,29,9.0,3935,36.75,70,0.69,0.972,-2.228,21,106
1214,685,-1.961,0.911,0.654,25,7.5,3940,40.25,74,0.653,0.912,-1.964,60,51
844,563,-1.685,0.837,0.614,21,6.0,3945,44.0,77,0.609,0.847,-1.721,55,45
3160,1514,-1.458,0.767,0.565,18,4.95,3950,48.0,80,0.561,0.782,-1.507,2907,260
997,1113,-1.25,0.694,0.513,16,4.05,3955,52.0,83,0.513,0.708,-1.29,18,19
1113,137,-5.781,0.836,0.477,78,55.0,3860,7.75,21,0.478,0.835,-5.785,709,790
449,57,-5.624,0.884,0.509,75,51.0,3865,8.75,24,0.51,0.883,-5.627,567,858
513,316,-5.461,0.928,0.543,73,47.0,3870,9.5,26,0.548,0.923,-5.481,481,918
815,145,-5.29,0.969,0.579,71,43.0,3875,10.75,28,0.579,0.968,-5.292,417,687
1245,484,-5.11,1.006,0.617,68,39.0,3880,11.75,31,0.618,1.006,-5.112,616,807
986,113,-4.659,1.077,0.666,62,32.34,3885,15.08,37,0.667,1.077,-4.66,668,783
632,917,-4.921,1.04,0.661,65,34.93,3890,12.69,34,0.662,1.039,-4.922,727,588
316,769,-4.437,1.101,0.708,59,28.5,3895,16.25,40,0.708,1.101,-4.437,452,160
1895,2090,-4.184,1.119,0.734,55,25.25,3900,17.75,44,0.743,1.119,-4.188,1928,844
675,365,-3.917,1.129,0.752,52,22.25,3905,20.0,48,0.752,1.129,-3.917,677,301
496,943,-3.64,1.129,0.762,48,19.5,3910,22.25,51,0.762,1.129,-3.64,457,312
587,303,-3.356,1.119,0.763,44,17.0,3915,24.75,55,0.763,1.119,-3.357,156,274
1316,1034,-3.072,1.098,0.755,40,14.75,3920,27.5,59,0.754,1.098,-3.073,56,205
1451,810,-2.779,1.065,0.746,36,12.5,3925,30.5,63,0.737,1.067,-2.794,228,220
1596,938,-2.505,1.024,0.719,32,10.75,3930,33.5,67,0.718,1.024,-2.507,66,100
924,521,-2.226,0.971,0.69,29,9.0,3935,37.0,70,0.683,0.976,-2.25,21,106
1214,717,-1.961,0.911,0.654,25,7.5,3940,40.5,74,0.647,0.918,-1.99,60,51
844,563,-1.685,0.837,0.614,21,6.0,3945,44.25,77,0.605,0.855,-1.752,55,45
3160,1514,-1.501,0.78,0.562,19,5.25,3950,48.0,80,0.561,0.782,-1.507,2907,260
997,1113,-1.258,0.697,0.513,16,4.1,3955,52.25,82,0.512,0.722,-1.328,18,19
1113,137,-5.781,0.836,0.477,78,55.0,3860,7.75,21,0.478,0.835,-5.785,709,790
449,57,-5.624,0.884,0.509,75,51.0,3865,8.75,24,0.51,0.883,-5.627,575,858
513,316,-5.479,0.923,0.547,73,46.75,3870,9.5,26,0.548,0.923,-5.481,481,918
815,145,-5.29,0.969,0.579,71,43.0,3875,10.75,28,0.579,0.968,-5.292,417,687
1245,484,-5.11,1.006,0.617,68,39.0,3880,11.75,31,0.618,1.006,-5.112,616,807
986,113,-4.659,1.077,0.666,62,32.34,3885,15.08,37,0.667,1.077,-4.66,668,783
632,917,-4.921,1.039,0.661,65,34.93,3890,12.69,34,0.662,1.039,-4.922,727,588
316,769,-4.437,1.1,0.708,59,28.5,3895,16.25,40,0.708,1.1,-4.437,452,160
1895,2090,-4.184,1.119,0.734,55,25.25,3900,18.0,44,0.734,1.119,-4.184,1929,844
675,365,-3.917,1.129,0.752,52,22.25,3905,20.0,48,0.752,1.129,-3.917,677,301
496,943,-3.64,1.129,0.762,48,19.5,3910,22.25,51,0.762,1.129,-3.64,457,312
587,304,-3.356,1.119,0.763,44,17.0,3915,24.75,55,0.763,1.119,-3.357,156,274
1316,1034,-3.062,1.097,0.764,40,14.5,3920,27.5,59,0.754,1.098,-3.073,56,205
1451,810,-2.779,1.065,0.746,36,12.5,3925,30.5,63,0.737,1.067,-2.794,228,220
1596,939,-2.487,1.021,0.727,32,10.5,3930,33.5,67,0.718,1.024,-2.507,66,100
924,524,-2.226,0.971,0.69,29,9.0,3935,36.75,70,0.69,0.972,-2.228,21,106
1214,717,-1.961,0.911,0.654,25,7.5,3940,40.5,74,0.647,0.918,-1.99,60,51
844,563,-1.685,0.837,0.614,21,6.0,3945,44.25,77,0.605,0.855,-1.752,55,45
3160,1514,-1.501,0.78,0.562,19,5.25,3950,48.0,80,0.561,0.782,-1.507,2907,260
997,1113,-1.258,0.697,0.513,16,4.1,3955,52.25,82,0.512,0.722,-1.328,18,19
1113,137,-5.756,0.843,0.477,77,55.0,3860,7.75,21,0.48,0.836,-5.781,709,790
449,57,-5.6,0.89,0.508,75,51.0,3865,8.75,24,0.512,0.884,-5.622,575,858
513,316,-5.456,0.929,0.545,73,46.75,3870,9.5,26,0.55,0.924,-5.476,481,918
815,145,-5.269,0.973,0.576,70,43.0,3875,10.5,28,0.587,0.965,-5.303,417,687
1245,484,-5.09,1.01,0.614,68,39.0,3880,11.75,31,0.621,1.007,-5.105,616,807
986,113,-4.641,1.079,0.663,61,32.35,3885,15.09,37,0.67,1.078,-4.65,668,783
632,917,-4.902,1.042,0.658,65,34.92,3890,12.68,34,0.665,1.04,-4.914,727,588
316,769,-4.42,1.102,0.704,58,28.5,3895,16.25,41,0.712,1.101,-4.427,452,160
1895,2090,-4.169,1.119,0.73,55,25.25,3900,18.0,44,0.738,1.119,-4.172,1929,844
675,365,-3.903,1.129,0.748,51,22.25,3905,20.0,48,0.757,1.129,-3.903,677,301
496,943,-3.627,1.128,0.758,48,19.5,3910,22.25,52,0.767,1.128,-3.624,457,312
587,304,-3.338,1.117,0.768,44,16.75,3915,24.75,55,0.768,1.117,-3.339,156,274
1316,1034,-3.052,1.096,0.759,40,14.5,3920,27.5,59,0.759,1.096,-3.053,56,205
1451,810,-2.77,1.063,0.741,36,12.5,3925,30.5,63,0.741,1.064,-2.771,228,220
1596,939,-2.48,1.019,0.722,32,10.5,3930,33.5,67,0.722,1.02,-2.481,66,100
924,524,-2.197,0.965,0.694,28,8.75,3935,36.75,71,0.693,0.966,-2.199,21,106
1214,717,-1.955,0.909,0.65,25,7.5,3940,40.5,74,0.649,0.91,-1.959,60,51
844,563,-1.681,0.835,0.611,21,6.0,3945,44.25,77,0.606,0.845,-1.717,56,45
3160,1514,-1.454,0.765,0.562,18,4.95,3950,48.0,81,0.561,0.769,-1.468,2907,260
997,1113,-1.239,0.69,0.51,16,4.0,3955,52.25,83,0.51,0.707,-1.287,18,19
1113,137,-5.785,0.835,0.475,78,55.25,3860,7.75,21,0.476,0.833,-5.789,709,790
449,57,-5.648,0.877,0.51,76,51.0,3865,8.5,23,0.511,0.876,-5.651,575,858
513,316,-5.484,0.922,0.544,73,47.0,3870,9.5,26,0.545,0.921,-5.486,481,918
815,145,-5.312,0.963,0.581,71,43.0,3875,10.5,28,0.581,0.963,-5.314,417,687
1245,484,-5.117,1.004,0.614,68,39.25,3880,11.75,31,0.615,1.004,-5.119,616,807
986,113,-4.677,1.074,0.67,62,32.32,3885,14.82,37,0.671,1.074,-4.678,668,783
632,917,-4.929,1.038,0.657,66,35.19,3890,12.69,34,0.658,1.038,-4.93,727,588
316,769,-4.454,1.099,0.712,59,28.5,3895,16.25,40,0.704,1.099,-4.448,452,160
1895,2090,-4.2,1.118,0.738,55,25.25,3900,18.0,44,0.73,1.118,-4.196,1929,844
675,365,-3.931,1.128,0.757,52,22.25,3905,20.0,47,0.748,1.128,-3.931,677,301
496,943,-3.652,1.129,0.767,48,19.5,3910,22.25,51,0.758,1.129,-3.655,457,312
587,304,-3.368,1.119,0.768,44,17.0,3915,24.75,55,0.758,1.119,-3.374,156,274
1316,1034,-3.072,1.097,0.768,40,14.5,3920,27.25,59,0.759,1.098,-3.083,56,205
1451,810,-2.788,1.066,0.75,36,12.5,3925,30.25,63,0.741,1.068,-2.802,228,220
1596,939,-2.495,1.022,0.731,32,10.5,3930,33.5,66,0.714,1.028,-2.532,66,100
924,524,-2.233,0.972,0.694,29,9.0,3935,36.75,70,0.687,0.977,-2.257,21,106
1214,717,-1.966,0.912,0.657,25,7.5,3940,40.25,74,0.651,0.919,-1.996,60,51
844,563,-1.69,0.838,0.618,22,6.0,3945,44.0,77,0.608,0.856,-1.756,57,45
3160,1514,-1.462,0.768,0.568,18,4.95,3950,48.0,80,0.561,0.794,-1.545,2907,260
997,1113,-1.253,0.695,0.516,16,4.05,3955,52.0,82,0.514,0.722,-1.332,18,19
1113,137,-5.748,0.846,0.468,77,56.0,3860,12.0,26,0.428,0.918,-5.499,709,790
449,57,-5.595,0.892,0.498,75,52.0,3865,65.0,41,0.182,1.1,-4.59,575,858
513,316,-5.454,0.929,0.534,73,47.75,3870,20.0,33,0.403,1.029,-5.004,481,918
815,145,-5.302,0.966,0.573,71,43.5,3875,12.5,30,0.541,0.988,-5.202,417,687
1245,484,-4.744,1.069,0.436,63,50.0,3880,16.5,34,0.518,1.042,-4.911,616,807
986,113,-4.356,1.111,0.374,57,51.15,3885,14.81,37,0.667,1.073,-4.687,668,783
632,917,-4.925,1.039,0.647,65,35.68,3890,16.1,36,0.574,1.059,-4.795,727,588
316,769,-4.457,1.098,0.7,59,29.0,3895,29.0,43,0.448,1.116,-4.264,452,160
1895,2090,-4.111,1.124,0.479,54,37.0,3900,25.0,45,0.55,1.122,-4.134,1929,844
675,365,-3.935,1.128,0.555,51,30.0,3905,19.75,47,0.752,1.128,-3.945,678,301
496,944,-3.741,1.129,0.537,49,28.5,3910,22.0,51,0.762,1.129,-3.668,457,312
587,304,-3.634,1.127,0.429,47,33.5,3915,24.75,55,0.754,1.12,-3.392,156,274
1316,1034,-3.189,1.106,0.675,41,17.5,3920,27.5,59,0.746,1.101,-3.112,56,205
1451,810,-2.862,1.074,0.713,37,13.75,3925,30.25,62,0.737,1.07,-2.825,228,220
1596,939,-2.817,1.067,0.588,36,16.0,3930,33.5,66,0.71,1.032,-2.557,66,100
924,524,-2.239,0.974,0.698,29,9.0,3935,40.0,67,0.603,1.023,-2.517,21,106
1214,717,-1.998,0.919,0.655,26,7.75,3940,41.0,72,0.631,0.942,-2.099,60,51
844,563,-1.92,0.899,0.585,24,8.0,3945,43.75,77,0.612,0.858,-1.761,57,45
3160,1514,-1.831,0.874,0.532,23,8.0,3950,48.5,78,0.555,0.823,-1.644,2907,260
997,1113,-1.753,0.851,0.487,22,8.0,3955,52.25,81,0.514,0.748,-1.408,18,19
1113,137,-5.748,0.846,0.468,77,56.0,3860,12.0,26,0.428,0.918,-5.499,709,790
449,57,-5.595,0.892,0.498,75,52.0,3865,65.0,41,0.182,1.1,-4.59,575,858
513,316,-5.454,0.929,0.534,73,47.75,3870,20.0,33,0.403,1.029,-5.004,481,918
815,145,-5.302,0.965,0.573,71,43.5,3875,12.5,30,0.541,0.988,-5.202,417,687
1245,484,-4.744,1.069,0.436,63,50.0,3880,16.5,34,0.518,1.042,-4.911,616,807
986,113,-4.356,1.111,0.374,57,51.15,3885,14.81,37,0.667,1.073,-4.687,668,783
632,917,-4.925,1.038,0.647,65,35.68,3890,16.1,36,0.574,1.059,-4.795,727,588
316,769,-4.457,1.098,0.7,59,29.0,3895,29.0,43,0.448,1.116,-4.264,452,160
1895,2090,-4.111,1.123,0.479,54,37.0,3900,25.0,45,0.55,1.122,-4.134,1929,844
675,365,-3.935,1.128,0.555,51,30.0,3905,19.75,47,0.752,1.127,-3.945,678,301
496,944,-3.741,1.129,0.537,49,28.5,3910,22.0,51,0.762,1.129,-3.668,457,312
587,304,-3.634,1.127,0.429,47,33.5,3915,24.75,55,0.754,1.12,-3.392,156,274
1316,1034,-3.189,1.106,0.675,41,17.5,3920,27.5,59,0.746,1.1,-3.112,56,205
1451,810,-2.862,1.074,0.713,37,13.75,3925,30.25,62,0.737,1.07,-2.825,228,220
1596,939,-2.817,1.067,0.588,36,16.0,3930,33.5,66,0.71,1.031,-2.557,66,100
924,524,-2.239,0.973,0.698,29,9.0,3935,40.0,67,0.603,1.023,-2.517,21,106
1214,717,-1.998,0.919,0.655,26,7.75,3940,41.0,72,0.631,0.942,-2.099,60,51
844,563,-1.92,0.898,0.585,24,8.0,3945,43.75,77,0.612,0.858,-1.761,57,45
3160,1514,-1.831,0.874,0.532,23,8.0,3950,48.5,78,0.555,0.823,-1.644,2907,260
997,1113,-1.753,0.851,0.487,22,8.0,3955,52.25,81,0.514,0.748,-1.408,18,19
1113,137,-5.748,0.846,0.468,77,56.0,3860,12.0,26,0.428,0.918,-5.499,709,790
449,57,-5.595,0.891,0.498,75,52.0,3865,65.0,41,0.182,1.1,-4.59,575,858
513,316,-5.454,0.929,0.534,73,47.75,3870,20.0,33,0.403,1.028,-5.004,481,918
815,145,-5.302,0.965,0.573,71,43.5,3875,12.5,30,0.541,0.987,-5.202,417,687
1245,484,-4.744,1.068,0.436,63,50.0,3880,16.5,34,0.518,1.042,-4.911,616,807
986,113,-4.356,1.11,0.374,57,51.15,3885,14.81,37,0.667,1.073,-4.687,668,783
632,917,-4.925,1.038,0.647,65,35.68,3890,16.1,36,0.574,1.059,-4.795,727,588
316,769,-4.457,1.098,0.7,59,29.0,3895,29.0,43,0.448,1.115,-4.264,452,160
1895,2090,-4.111,1.123,0.479,54,37.0,3900,25.0,45,0.55,1.122,-4.134,1929,844
675,365,-3.935,1.128,0.555,51,30.0,3905,19.75,47,0.752,1.127,-3.945,678,301
496,944,-3.741,1.129,0.537,49,28.5,3910,22.0,51,0.762,1.128,-3.668,457,312
587,304,-3.634,1.127,0.429,47,33.5,3915,24.75,55,0.754,1.12,-3.392,156,274
1316,1034,-3.189,1.106,0.675,41,17.5,3920,27.5,59,0.746,1.1,-3.112,56,205
1451,810,-2.862,1.074,0.713,37,13.75,3925,30.25,62,0.737,1.07,-2.825,228,220
1596,939,-2.817,1.066,0.588,36,16.0,3930,33.5,66,0.71,1.031,-2.557,66,100
924,524,-2.239,0.973,0.698,29,9.0,3935,40.0,67,0.603,1.023,-2.517,21,106
1214,717,-1.998,0.919,0.655,26,7.75,3940,41.0,72,0.631,0.942,-2.099,60,51
844,563,-1.92,0.898,0.585,24,8.0,3945,43.75,77,0.612,0.857,-1.761,57,45
3160,1514,-1.831,0.874,0.532,23,8.0,3950,48.5,78,0.555,0.823,-1.644,2907,260
997,1113,-1.753,0.851,0.487,22,8.0,3955,52.25,81,0.514,0.748,-1.408,18,19
1113,137,-5.748,0.846,0.468,77,56.0,3860,12.0,26,0.428,0.918,-5.499,709,790
449,57,-5.595,0.891,0.498,75,52.0,3865,65.0,41,0.182,1.1,-4.59,575,858
513,316,-5.454,0.929,0.534,73,47.75,3870,20.0,33,0.403,1.028,-5.004,481,918
815,145,-5.302,0.965,0.573,71,43.5,3875,12.5,30,0.541,0.987,-5.202,417,687
1245,484,-4.744,1.068,0.436,63,50.0,3880,16.5,34,0.518,1.042,-4.911,616,807
986,113,-4.356,1.11,0.374,57,51.15,3885,14.81,37,0.667,1.072,-4.687,668,783
632,917,-4.925,1.038,0.647,65,35.68,3890,16.1,36,0.574,1.059,-4.795,727,588
316,769,-4.457,1.098,0.7,59,29.0,3895,29.0,43,0.448,1.115,-4.264,452,160
1895,2090,-4.111,1.123,0.479,54,37.0,3900,25.0,45,0.55,1.121,-4.134,1929,844
675,365,-3.935,1.128,0.555,51,30.0,3905,19.75,47,0.752,1.127,-3.945,678,301
496,944,-3.741,1.129,0.537,49,28.5,3910,22.0,51,0.762,1.128,-3.668,457,312
587,304,-3.634,1.127,0.429,47,33.5,3915,24.75,55,0.754,1.119,-3.392,156,274
1316,1034,-3.189,1.106,0.675,41,17.5,3920,27.5,59,0.746,1.1,-3.112,56,205
1451,810,-2.862,1.074,0.713,37,13.75,3925,30.25,62,0.737,1.07,-2.825,228,220
1596,939,-2.817,1.066,0.588,36,16.0,3930,33.5,66,0.71,1.031,-2.557,66,100
924,524,-2.239,0.973,0.698,29,9.0,3935,40.0,67,0.603,1.022,-2.517,21,106
1214,717,-1.998,0.919,0.655,26,7.75,3940,41.0,72,0.631,0.942,-2.099,60,51
844,563,-1.92,0.898,0.585,24,8.0,3945,43.75,77,0.612,0.857,-1.761,57,45
3160,1514,-1.831,0.873,0.532,23,8.0,3950,48.5,78,0.555,0.822,-1.644,2907,260
997,1113,-1.753,0.851,0.487,22,8.0,3955,52.25,81,0.514,0.748,-1.408,18,19
1113,137,-5.748,0.846,0.468,77,56.0,3860,12.0,26,0.428,0.918,-5.499,709,790
449,57,-5.595,0.891,0.498,75,52.0,3865,65.0,41,0.182,1.1,-4.59,575,858
513,316,-5.454,0.929,0.534,73,47.75,3870,20.0,33,0.403,1.028,-5.004,481,918
815,145,-5.302,0.965,0.573,71,43.5,3875,12.5,30,0.541,0.987,-5.202,417,687
1245,484,-4.744,1.068,0.436,63,50.0,3880,16.5,34,0.518,1.042,-4.911,616,807
986,113,-4.356,1.11,0.374,57,51.15,3885,14.81,37,0.667,1.072,-4.687,668,783
632,917,-4.925,1.038,0.647,65,35.68,3890,16.1,36,0.574,1.059,-4.795,727,588
316,769,-4.457,1.097,0.7,59,29.0,3895,29.0,43,0.448,1.115,-4.264,452,160
1895,2090,-4.111,1.123,0.479,54,37.0,3900,25.0,45,0.55,1.121,-4.134,1929,844
675,365,-3.935,1.128,0.555,51,30.0,3905,19.75,47,0.752,1.127,-3.945,678,301
496,944,-3.741,1.129,0.537,49,28.5,3910,22.0,51,0.762,1.128,-3.668,457,312
587,304,-3.634,1.126,0.429,47,33.5,3915,24.75,55,0.754,1.119,-3.392,156,274
1316,1034,-3.189,1.106,0.675,41,17.5,3920,27.5,59,0.746,1.1,-3.112,56,205
1451,810,-2.862,1.074,0.713,37,13.75,3925,30.25,62,0.737,1.069,-2.825,228,220
1596,939,-2.817,1.066,0.588,36,16.0,3930,33.5,66,0.71,1.031,-2.557,66,100
924,524,-2.239,0.973,0.698,29,9.0,3935,40.0,67,0.603,1.022,-2.517,21,106
1214,717,-1.998,0.919,0.655,26,7.75,3940,41.0,72,0.631,0.941,-2.099,60,51
844,563,-1.92,0.898,0.585,24,8.0,3945,43.75,77,0.612,0.857,-1.761,57,45
3160,1514,-1.831,0.873,0.532,23,8.0,3950,48.5,78,0.555,0.822,-1.644,2907,260
997,1113,-1.753,0.851,0.487,22,8.0,3955,52.25,81,0.514,0.747,-1.408,18,19
1113,137,-5.748,0.846,0.468,77,56.0,3860,12.0,26,0.428,0.917,-5.499,709,790
449,57,-5.595,0.891,0.498,75,52.0,3865,65.0,41,0.182,1.099,-4.59,575,858
513,316,-5.454,0.929,0.534,73,47.75,3870,20.0,33,0.403,1.028,-5.004,481,918
815,145,-5.302,0.965,0.573,71,43.5,3875,12.5,30,0.541,0.987,-5.202,417,687
1245,484,-4.744,1.068,0.436,63,50.0,3880,16.5,34,0.518,1.041,-4.911,616,807
986,113,-4.356,1.11,0.374,57,51.15,3885,14.81,37,0.667,1.072,-4.687,668,783
632,917,-4.925,1.038,0.647,65,35.68,3890,16.1,36,0.574,1.058,-4.795,727,588
316,769,-4.457,1.097,0.7,59,29.0,3895,29.0,43,0.448,1.115,-4.264,452,160
1895,2090,-4.111,1.122,0.479,54,37.0,3900,25.0,45,0.55,1.121,-4.134,1929,844
675,365,-3.935,1.127,0.555,51,30.0,3905,19.75,47,0.752,1.127,-3.945,678,301
496,944,-3.741,1.128,0.537,49,28.5,3910,22.0,51,0.762,1.128,-3.668,457,312
587,304,-3.634,1.126,0.429,47,33.5,3915,24.75,55,0.754,1.119,-3.392,156,274
1316,1034,-3.189,1.105,0.675,41,17.5,3920,27.5,59,0.746,1.1,-3.112,56,205
1451,810,-2.862,1.073,0.713,37,13.75,3925,30.25,62,0.737,1.069,-2.825,228,220
1596,939,-2.817,1.066,0.588,36,16.0,3930,33.5,66,0.71,1.031,-2.557,66,100
924,524,-2.239,0.973,0.698,29,9.0,3935,40.0,67,0.603,1.022,-2.517,21,106
1214,717,-1.998,0.919,0.655,26,7.75,3940,41.0,72,0.631,0.941,-2.099,60,51
844,563,-1.92,0.898,0.585,24,8.0,3945,43.75,77,0.612,0.857,-1.761,57,45
3160,1514,-1.831,0.873,0.532,23,8.0,3950,48.5,78,0.555,0.822,-1.644,2907,260
997,1113,-1.753,0.85,0.487,22,8.0,3955,52.25,81,0.514,0.747,-1.408,18,19
1113,137,-5.748,0.845,0.468,77,56.0,3860,12.0,26,0.428,0.917,-5.499,709,790
449,57,-5.595,0.891,0.498,75,52.0,3865,65.0,41,0.182,1.099,-4.59,575,858
513,316,-5.454,0.928,0.534,73,47.75,3870,20.0,33,0.403,1.028,-5.004,481,918
